asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c0c58d5c37142f70e4e69,"""Coloneum-Butzweiler Hof"" Fond III",,50829,Köln,,,,,549,3890,,2026-07-02,"rent on request; NK 4.5 EUR/m2; geo:50.98621,6.89073"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6a35449397851a61705be2b0,Exklusive Vermarktung Premium-Gewerbefläche mit besonde,,50678,Köln,,,,,76,76,,2026-07-02,"rent on request; NK 5 EUR/m2; geo:50.92126,6.96749"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-62ea725b7327a57b5bd1e3ee,Exklusive Büros mitten im Geschehen!,,50667,Köln,,,,,,333,,2026-07-02,"rent on request; NK 4.5 EUR/m2; geo:50.93701,6.94477"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5e552c2dc654185376071c4f,TRIAS - Modernität meets Historie,,04109,Leipzig,,,,,243.75,499.75,,2026-07-02,"rent on request; NK 4.75 EUR/m2; geo:51.33717,12.37158"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6a43f64a324e5836f49ea09c,Preiskracher mit Konferenzzentrum!,,82008,Unterhaching,,,,,115,4203.78,,2026-07-02,"rent on request; NK 2.9 EUR/m2; geo:48.05559,11.60721"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-645e3127281cab0e09337c19,ca. 360m² große Gewerbeeinheit,,22045,Hamburg,,,,,,380,,2026-07-02,"rent on request; geo:53.58205,10.13466"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6478975a961d1805a91deddd,Last-Mile Standort mit optimaler Andienung,,30855,Langenhagen,,,,,,1142,,2026-07-02,"rent on request; geo:52.44303,9.70232"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5ee0a20da344ef0d119d9edf,Idyllisches Büro in der Maxvorstadt,,80797,München,,,,,298.2,712.9,,2026-07-02,"rent on request; geo:48.15589,11.5559"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c086f737ce74326e5d82d,"Ideale ÖPNV-Anbindung Moderne, loftartige Büroflächen a",,40211,Düsseldorf,,,,,450,4035.75,,2026-07-02,"rent on request; NK 4.5 EUR/m2; geo:51.23012,6.79521"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6814c465d67904141c86fdcb,Im Auftrag - Logistikzentrum Bremen GVZ,,28197,Bremen,,,,,,10990,,2026-07-02,"rent on request; geo:53.08485,8.73925"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6808aea3deddc70d36ed47ec,Moderne Lager- und Verkaufsfläche,,22397,Hamburg,,,,,,1718,,2026-07-02,"rent on request; geo:53.71063,10.12997"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6448e3442fafd4372ec1bf5c,2.200 m² Rampenlager in Trittau - Sofort verfügbar,,22946,Trittau,,,,,,2765,,2026-07-02,"rent on request; geo:53.61954,10.38959"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-668f8edee15a29235b4e231a,Logistikhalle in Langenhagen,,30855,Langenhagen,,,,,,3936,,2026-07-02,"rent on request; geo:52.43344,9.67981"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c07c09aabd94345879f07,ca. 58.000 m² Neubau-Logistikzentrum an der A1,,26197,Großenkneten,,,,,,58000,,2026-07-02,"rent on request; geo:52.88321,8.22977"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6604509f302c606dbb28e9dc,Hochwertige Lagerhalle mit Showroom,,30855,Langenhagen,,,,,,3500,,2026-07-02,"rent on request; geo:52.44405,9.71215"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-62d50d03962ed37eda06f644,Exklusiv: 460 m² Lagerhalle mit Freifläche in der Nähe,,25462,Rellingen,,,,,,675,,2026-07-02,"rent on request; geo:53.6386,9.88661"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-615d9775404c3475613002f7,Verfügbare Lager- und Produktionsflächen zu vermieten,,22885,Barsbüttel,,,,,,965,,2026-07-02,"rent on request; geo:53.57565,10.19198"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6818d757deddc70d36ed4817,Logistikflächen zur Miete,,29614,Soltau,,,,,,2718.75,,2026-07-02,"rent on request; geo:52.97771,9.85145"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-65c60462dea1ae12574e8946,Sanierte Lagerhalle in Bremen,,28307,Bremen,,,,,,4000,,2026-07-02,"rent on request; geo:53.04262,8.96174"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-646736ebd48e7005e579de20,Ebenerdige Lagerflächen in Winsen,,21423,Winsen,,,,,,3500,,2026-07-02,"rent on request; geo:53.37306,10.23235"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-644648738a9ba2747837a8b7,Produktions- und Logistikpark Schwerin,,19061,Schwerin,,,,,,20000,,2026-07-02,"rent on request; geo:53.57036,11.39498"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6213b9cbd2ce8d0e3dfcd397,Logistikneubau in Hamburg-Allermöhe,,21035,Hamburg,,,,,,6000,,2026-07-02,"rent on request; geo:53.49631,10.11611"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6160066b22e32522ef8d1809,Flexible Lagerflächen in Toplage,,20539,Hamburg,,,,,,3830,,2026-07-02,"rent on request; geo:53.53882,10.04875"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-67501ef672f9a2542191f938,Kurzfristig verfügbare Logistikhalle,,49324,Melle,,,,,,3383,,2026-07-02,"rent on request; geo:52.20984,8.34815"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6d2806138a6d7a9d9eb086,ca. 805 m² Hallenfläche inhkl. Meisterbüro,,22113,Hamburg,,,,,,805,,2026-07-02,"rent on request; geo:53.53887,10.08618"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69fc597821fb1a799691c617,"Zentrumsnahe Lagerfläche - Ideal als Lager, Werkstatt,",,22761,Hamburg,,,,,,858,,2026-07-02,"rent on request; geo:53.5626,9.91376"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6814c460deddc70d36ed4810,Im Auftrag: Logistikflächen im LogPark Ochsendorf,,38154,Königslutter am Elm,,,,,,39649,,2026-07-02,"rent on request; geo:52.31206,10.82616"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-615f181142939a6050aeaf99,ab sofort: Ebenerdige Lagerhalle - ca. 2.200 m²,,20539,Hamburg,,,,,,2200,,2026-07-02,"rent on request; geo:53.53657,10.0553"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-635a9dfae9ba4c6482383475,"Moderne Büroflächen in den ""Schumanns Gärten""",,04103,Leipzig,,,,,266.08,266.08,,2026-07-02,"rent on request; geo:51.33868,12.38987"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6d2ff97ce1047ab62ea0f6,Ab sofort verfügbar: Rampenlager zur Miete,,22113,Hamburg,,,,,,1200,,2026-07-02,"rent on request; geo:53.53783,10.08102"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6298d7580b49cd738a2f13b9,Rampenlager in Rothenburgsort,,20539,Hamburg,,,,,,4800,,2026-07-02,"rent on request; geo:53.53618,10.05667"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5eb1245126c8ab779ca10e51,ca. 2.000 m² m Lager-/ und Logistikflächen in Hamburg-B,,22113,Hamburg,,,,,,2581,,2026-07-02,"rent on request; geo:53.52685,10.08635"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-611e6f181f0a3f6c8a539e6e,Sanierte Werkstattsfläche in Norderstedt,,22848,Norderstedt,,,,,,350,,2026-07-02,"rent on request; geo:53.6655,9.98689"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d7b9090d1514c54bed4305b,*provisionsfrei* Logistikflächen im Hamburger Hafen,,20457,Hamburg,,,,,,8558,,2026-07-02,"rent on request; geo:53.53856,9.96768"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5de9294ad6afd372e041322c,Ebenerdige Lager-/ Produktionsfläche,,21465,Reinbek,,,,,,1035,,2026-07-02,"rent on request; geo:53.52377,10.23724"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-643d3e038a9ba2747837a819,Gepflasterte Außenfläche in Billbrook,,20539,Hamburg,,,,,,2540,,2026-07-02,"rent on request; geo:53.54258,10.04524"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5f50afb8cc66583e87b56bf6,Im Auftrag - ca. 10.800 m² Logistikfläche an der A7,,29646,Bispingen,,,,,,12581.9,,2026-07-02,"rent on request; geo:53.09827,9.98699"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6980d13f87e07375f0ae2283,Alleinstehendes Gewerbeobjekt mit Produktions- und Büro,,22926,Ahrensburg,,,,,,2800,,2026-07-02,"rent on request; geo:53.68759,10.25649"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-67e18b17deddc70d36ed477a,ab ca. 6.676 m² Logistikflächen in Laatzen mit WGK III,,30880,Laatzen,,,,,,24562,,2026-07-02,"rent on request; geo:52.31566,9.79854"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6020fe207fa8dc0af7693f0c,24/7 Logistikhalle in Flughafennähe,,30855,Langenhagen,,,,,,7935,,2026-07-02,"rent on request; geo:52.44312,9.70577"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-669f5e88e15a29235b4e23a7,Moderne Produktionsfläche mit mehreren Kranbahnen,,21079,Hamburg,,,,,,5244,,2026-07-02,"rent on request; geo:53.46588,9.99393"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6274ebf858275f02a65d5410,Logistikhalle mit Gleisanschluss,,21079,Hamburg,,,,,,7476,,2026-07-02,"rent on request; geo:53.47251,9.97215"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5ebbaf9e221df84acb70a56a,Saniertes Logistikzentrum in Billbrook,,22113,Hamburg,,,,,,30030,,2026-07-02,"rent on request; geo:53.5295,10.0969"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-646484afd48e7005e579dde7,Ab Juni 2026: ca. 700 m² bis 1.100 m² Lager-/Produktion,,30453,Hannover,,,,,,4400,,2026-07-02,"rent on request; geo:52.36423,9.69797"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c1352882075432d69818c,Logistikhalle in Stelle zur Miete,,21435,Stelle,,,,,,3546,,2026-07-02,"rent on request; geo:53.38984,10.08076"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c0f843175e5433e5ddca5,ca. 2.500 m² Logistikfläche + ca. 3.000 m² Obergeschoss,,23843,Bad Oldesloe,,,,,,5500,,2026-07-02,"rent on request; geo:53.79856,10.3343"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-68c17d8e79f5036e30224800,Exklusiv: Hochwertige Logistik-/Produktionsflächen an d,,21077,Hamburg,,,,,,5554,,2026-07-02,"rent on request; geo:53.42565,9.96298"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-65c644d8dea1ae12574e8971,ab ca. 2.800 m² Rampenlager mit 24/7 Nutzung zur Miete,,22869,Schenefeld,,,,,,5688,,2026-07-02,"rent on request; geo:53.59652,9.83882"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5ddba983f6e02e583f5cc3ae,Exklusiv: Hochwertige Logistik-/Produktionsflächen an d,,21218,Seevetal,,,,,,5243,,2026-07-02,"rent on request; geo:53.42513,9.95684"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-628742bc85c460511c41528c,ca. 1.375 m² Lagerfläche mit angrenzendem Bürogebäude,,22419,Hamburg,,,,,,2275,,2026-07-02,"rent on request; geo:53.66421,9.99908"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69c2c0ef21fb1a799691c578,Repräsentative Hallen- und Büroflächen mit Hochregal,,22113,Oststeinbek,,,,,,1948,,2026-07-02,"rent on request; geo:53.54817,10.1584"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69946141d10df504d705ad25,"Produktionsfläche mit Druckluft, Klimatisierung und Bod",,22525,Hamburg,,,,,,1400,,2026-07-02,"rent on request; geo:53.57814,9.91824"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-62bb13cd3cd415771cfef9b8,50.000 m² Neubau Logistik-/Produktionsfläche,,30179,Hannover,,,,,,50550,,2026-07-02,"rent on request; geo:52.41353,9.73027"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69a197e221fb1a799691c527,Ab sofort verfügbar: Moderne Logistikflächen in Bremen,,28197,Bremen,,,,,,10097,,2026-07-02,"rent on request; geo:53.08878,8.72929"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6a0c535097851a61705be26d,Neubau Logistikhalle in Wietze,,29323,Wietze,,,,,,44390,,2026-07-02,"rent on request; geo:52.65671,9.8309"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-63e66e8fd03e12387a84eae4,Lager-/Produktionsfläche in Stellingen,,22525,Hamburg,,,,,,3610,,2026-07-02,"rent on request; geo:53.59602,9.9106"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-60080dc0d9ee2a297382c2df,Hochwertige Lagerflächen in Harburg,,21079,Hamburg,,,,,,865,,2026-07-02,"rent on request; geo:53.46157,10.00345"
industrial_hall,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6a2be48fe2c6516115017f5e,ca. 925 m² Lagerfläche zzgl. Büro im Hamburger Westen,,22525,Hamburg,,,,,,1292,,2026-07-02,"rent on request; geo:53.59692,9.90585"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5f915692dce2983a4871dd14,Moderne Büroflächen mitten in der Stadt!,,80335,München,,,,,223,223,,2026-07-02,"rent on request; NK 4.5 EUR/m2; geo:48.14522,11.55818"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69d4cc7a91445c0ccc707e29,Moderne Büroflächen in attraktiver Lage,,80686,München,,,,,484,484,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:48.135,11.52416"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5eccc890631cea1f104a7bb0,Repräsentatives Altbau-Büro im Lehel,,80538,München,,,,,127.67,127.67,,2026-07-02,"rent on request; NK 3 EUR/m2; geo:48.13926,11.59225"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69849c898c1dde24cd9048f4,Lichtdurchflutete Büroflächen in Haar,,85540,Haar,,,,,271.53,271.53,,2026-07-02,"rent on request; NK 3.8 EUR/m2; geo:48.11291,11.73264"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69849b9f87e07375f0ae2291,Büroflächen in Messenähe,,81829,München,,,,,463,463,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:48.13406,11.68625"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69d4ca226011262f649e1e97,Preiswerte Büroflächen mit sehr guter Anbindung im West,,80686,München,,,,,284,852,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:48.1353,11.52469"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c1032e2267743145b16d9,Preiswerte Büroflächen fußläufig zum Englischengarten,,85774,Unterföhring,,,,,300,300,,2026-07-02,"rent on request; NK 2.2 EUR/m2; geo:48.17803,11.63217"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-62793d4aa572583dbdcd2d23,New Westside Factory Loft,,80999,München,,,,,124.3,2403.5,,2026-07-02,"rent on request; geo:48.19555,11.46278"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6981faea21fb1a799691c4ce,Moderne Büroflächen in Ismaning,,85737,Ismaning,,,,,542,936.6,,2026-07-02,"rent on request; NK 2 EUR/m2; geo:48.23615,11.67909"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69849ba08c1dde24cd9048f1,Büroflächen in Univsersitätsnähe,,80333,München,,,,,257,305,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:48.14539,11.56081"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6981faeaab7c8d70a8b2332c,Attraktiver Bürostandort im Münchnerosten,,81677,München,,,,,286,621,,2026-07-02,"rent on request; geo:48.13686,11.62517"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c0463031a5242f6ea2772,Katzensprung zum Münchner Flughafen!,,85399,Hallbergmoos,,,,,54.74,1212.6,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:48.32838,11.74148"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c0758882075432d697fdd,Seltene Großfläche am Rande der Stadt !,,01259,Dresden,,,,,124.5,5529.62,,2026-07-02,"rent on request; geo:50.98901,13.85125"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6a426edf324e5836f49ea094,Angerhof! Büroflächen im historischen Industrieareal,,04177,Leipzig,,,,,3546.63,3546.63,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:51.34023,12.337"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69fb07f691445c0ccc707e98,*Büroflächen in denkmalgeschützem Geschäftshaus*,,20457,Hamburg,,,,,285,285,,2026-07-02,"rent on request; NK 3.9 EUR/m2; geo:53.54963,9.99393"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6880a26fa3f0f7600185f0cf,Büroflächen in visionärem Neubauprojekt am Mittelweg,,20148,Hamburg-Rotherbaum,,,,,250,250,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:53.56561,9.99546"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69df53c887e07375f0ae237e,Attraktive Bürofläche mit direkten Blick über die Binne,,20095,Hamburg-Altstadt,,,,,323,323,,2026-07-02,"rent on request; geo:53.55445,9.99935"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5dd6b3ad42b70c47372ab764,Moderne Bürofläche in namhafter Lage!,,20457,Hamburg,,,,,334,2357.42,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:53.54912,9.98939"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6d3080a716ca7aa366ce6d,Zwischen St. Pauli und dem Hafen,,20359,Hamburg,,,,,265,1998,,2026-07-02,"rent on request; NK 4.5 EUR/m2; geo:53.54758,9.96767"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5f6af7ed04015b7bfae9510f,"Hochwertige Laden- und Bürofläche im Neubau ""Konstantin",,04315,Leipzig,,,,,82.33,82.33,,2026-07-02,"rent on request; geo:51.34321,12.39653"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6a1ff450496d1e61560ac619,Mietzins ab 20EUR/m² kalt – hochwertige Büroflächen in,,20457,Hamburg,,,,,763,2307,,2026-07-02,"rent on request; NK 7 EUR/m2; geo:53.54031,10.00261"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d7063c673b0c23d841ae3a8,Ihre Büroflächen in der Hamburger City!,,20355,Hamburg,,,,,52,2465,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:53.55426,9.98172"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c1492882075432d6981bc,Repräsentative Büroflächen mit vielen Möglichkeiten!,,20097,Hamburg,,,,,224,1915,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:53.54828,10.02874"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69cd206721fb1a799691c59c,Optimales Preis-Leistungs-Verhältnis in der City-Süd!,,20097,Hamburg,,,,,562,4030,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:53.54425,10.02736"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69e0a09787e07375f0ae2385,Attraktive Büroflächen mit Blick auf den Altonaer Balko,,22765,Hamburg,,,,,103.56,760.77,,2026-07-02,"rent on request; geo:53.5463,9.93416"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6215e75d14894411ea8dad45,Moderne Bürofläche in bester Hamburger Lage!,,20099,Hamburg,,,,,676,676,,2026-07-02,"rent on request; NK 4 EUR/m2; geo:53.55895,10.00879"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69e0a54852451f3d8bac512a,Arbeiten zwischen Binnenalster und Hauptbahnhof!,,20095,Hamburg,,,,,234.49,2257.19,,2026-07-02,"rent on request; NK 5.9 EUR/m2; geo:53.55435,10.00195"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69e0dd8bfb712e272f79b785,Moderne Büroflächen am Osterbekkanal,,22083,Hamburg,,,,,203.5,203.5,,2026-07-02,"rent on request; geo:53.58371,10.04549"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69cd19668c1dde24cd904999,Moderne Büroflächen im hanseatischen Geesthof,,20097,Hamburg,,,,,950,1461,,2026-07-02,"rent on request; NK 3.95 EUR/m2; geo:53.5514,10.01464"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69cd196491445c0ccc707e19,Moderne Büroflächen mit Blick über Hamburg,,22083,Hamburg,,,,,425,4434,,2026-07-02,"rent on request; NK 4.4 EUR/m2; geo:53.57117,10.02812"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-6842c5b879096943c563bed6,Attraktive Büroflächen mitten in der Hamburger City,,20354,Hamburg,,,,,100,234,,2026-07-02,"rent on request; NK 5.82 EUR/m2; geo:53.55214,9.99193"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-66d6c23872f9a2542191f3c9,Schöne Büroimmobilie am Alsterfleet!,,20459,Hamburg,,,,,372,372,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:53.54568,9.98226"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-62b9936cf0bbcf08821d3e66,"*markant, hanseatisch, modern - mieten Sie zentral in a",,20457,Hamburg,,,,,236.52,867.52,,2026-07-02,"rent on request; NK 5.5 EUR/m2; geo:53.54863,9.98811"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-68809dc0aa306d5906328a71,"Moderne und flexibel gestaltbare Büroflächen im ""PATIO",,22297,Hamburg,,,,,1352,10949,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:53.60614,10.01904"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c1480d5c37142f70e4f68,Modern - Imposant - Provisionsfrei!,,20537,Hamburg,,,,,96.38,964.9,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:53.54758,10.05081"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-68809b6ad997896075e9945f,Repräsentative Büroflächen in der City Nord!,,22297,Hamburg,,,,,900,10780,,2026-07-02,"rent on request; NK 4.7 EUR/m2; geo:53.60604,10.02003"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5de8de11d6afd372e041322a,Ausblick!,,22765,Hamburg,,,,,12,330,,2026-07-02,"rent on request; NK 5.1 EUR/m2; geo:53.56153,9.94875"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-68809b6ad997896075e9945e,Lichtdurchflutete und flexibel nutzbare Büroflächen im,,22297,Hamburg,,,,,1476,1476,,2026-07-02,"rent on request; NK 5.7 EUR/m2; geo:53.60733,10.02055"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69d658916011262f649e1ea4,"*Exklusiv!* Attraktive Bürofläche im ""Haus am Fleet""",,20459,Hamburg,,,,,273,273,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:53.54539,9.98258"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-660bfcc2302c606dbb28ea19,Hochwertige Büroflächen mit Wasserblick in der Hafencit,,20457,Hamburg,,,,,242.72,5876.79,,2026-07-02,"rent on request; NK 5.5 EUR/m2; geo:53.5448,10.00193"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-69d6563921fb1a799691c5af,*Mit Dachterrasse - Moderne Büroflächen zentral auf St.,,20359,Hamburg,,,,,243,952,,2026-07-02,"rent on request; NK 5.5 EUR/m2; geo:53.54717,9.96411"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6c1446e2267743145b176c,Günstige Büroflächen in Flughafen-Nähe!,,22453,Hamburg,,,,,109.86,943.66,,2026-07-02,"rent on request; NK 3.5 EUR/m2; geo:53.61263,9.96639"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-67a9d55ffc963643d420365a,Funktionale Bürofläche in Altona-Nord,,22765,Hamburg,,,,,510,510,,2026-07-02,"rent on request; geo:53.56063,9.94563"
office,lease,BNP Paribas RE,https://www.bnppre.de/gewerbeimmobilien,bnp-5d6d25ffa716ca7aa366cdd0,Absoluter Blickfang! Kreative und moderne Büros in der,,20457,Hamburg,,,,,208,4436,,2026-07-02,"rent on request; NK 7 EUR/m2; geo:53.54171,9.99677"
